departement_code,Date,temperature
05,2016-01-01,4.825000000000024
05,2016-01-02,3.575000000000017
05,2016-01-03,1.8625000000000256
05,2016-01-04,2.000000000000014
05,2016-01-05,3.2375000000000256
05,2016-01-06,1.900000000000027
05,2016-01-07,-0.24999999999997158
05,2016-01-08,2.5625000000000355
05,2016-01-09,3.3125000000000284
05,2016-01-10,3.5625000000000284
05,2016-01-11,6.425000000000011
05,2016-01-12,2.7500000000000213
05,2016-01-13,0.38750000000003126
05,2016-01-14,-2.2124999999999773
05,2016-01-15,-2.5749999999999744
05,2016-01-16,-3.97499999999998
05,2016-01-17,-3.09999999999998
05,2016-01-18,-3.3999999999999844
05,2016-01-19,-0.36249999999996874
05,2016-01-20,-0.07499999999998154
05,2016-01-21,-0.48749999999996874
05,2016-01-22,-0.662499999999973
05,2016-01-23,1.3250000000000242
05,2016-01-24,3.3750000000000213
05,2016-01-25,4.012500000000017
05,2016-01-26,5.050000000000026
05,2016-01-27,6.737500000000033
05,2016-01-28,5.800000000000026
05,2016-01-29,5.512500000000024
05,2016-01-30,5.775000000000027
05,2016-01-31,5.58750000000002
05,2016-02-01,7.562500000000021
05,2016-02-02,7.250000000000021
05,2016-02-03,4.512500000000024
05,2016-02-04,1.387500000000017
05,2016-02-05,3.9250000000000185
05,2016-02-06,5.512500000000024
05,2016-02-07,3.1125000000000256
05,2016-02-08,2.137500000000017
05,2016-02-09,3.3625000000000327
05,2016-02-10,2.200000000000017
05,2016-02-11,0.5375000000000156
05,2016-02-12,0.11250000000003274
05,2016-02-13,1.8750000000000213
05,2016-02-14,3.500000000000014
05,2016-02-15,2.33750000000002
05,2016-02-16,3.2375000000000185
05,2016-02-17,3.4375000000000213
05,2016-02-18,2.5000000000000355
05,2016-02-19,0.8250000000000242
05,2016-02-20,1.500000000000021
05,2016-02-21,6.975000000000023
05,2016-02-22,5.812500000000028
05,2016-02-23,6.687500000000014
05,2016-02-24,7.250000000000028
05,2016-02-25,6.700000000000024
05,2016-02-26,5.287500000000023
05,2016-02-27,6.15000000000002
05,2016-02-28,7.087500000000027
05,2016-02-29,5.412500000000016
05,2016-03-01,3.21250000000002
05,2016-03-02,3.525000000000034
05,2016-03-03,1.400000000000027
05,2016-03-04,0.15000000000003413
05,2016-03-05,1.650000000000006
05,2016-03-06,0.7750000000000199
05,2016-03-07,-0.6499999999999915
05,2016-03-08,0.3375000000000199
05,2016-03-09,1.6000000000000227
05,2016-03-10,5.075000000000017
05,2016-03-11,4.787500000000023
05,2016-03-12,5.1125000000000185
05,2016-03-13,5.125000000000021
05,2016-03-14,7.58750000000002
05,2016-03-15,6.08750000000002
05,2016-03-16,5.012500000000017
05,2016-03-17,6.975000000000023
05,2016-03-18,7.000000000000021
05,2016-03-19,8.40000000000002
05,2016-03-20,7.887500000000024
05,2016-03-21,8.450000000000024
05,2016-03-22,9.587500000000013
05,2016-03-23,8.587500000000027
05,2016-03-24,5.96250000000002
05,2016-03-25,6.225000000000023
05,2016-03-26,8.26250000000001
05,2016-03-27,6.1750000000000185
05,2016-03-28,5.450000000000017
05,2016-03-29,8.025000000000027
05,2016-03-30,10.825000000000024
05,2016-03-31,11.525000000000027
05,2016-04-01,10.812500000000028
05,2016-04-02,14.475000000000023
05,2016-04-03,12.375000000000007
05,2016-04-04,11.012500000000024
05,2016-04-05,10.700000000000024
05,2016-04-06,12.187500000000021
05,2016-04-07,10.350000000000016
05,2016-04-08,4.925000000000026
05,2016-04-09,6.750000000000014
05,2016-04-10,9.287500000000023
05,2016-04-11,11.050000000000018
05,2016-04-12,11.837500000000027
05,2016-04-13,8.925000000000026
05,2016-04-14,9.987500000000018
05,2016-04-15,12.100000000000016
05,2016-04-16,14.262500000000031
05,2016-04-17,11.512500000000024
05,2016-04-18,7.950000000000024
05,2016-04-19,10.562500000000021
05,2016-04-20,14.33750000000002
05,2016-04-21,14.525000000000027
05,2016-04-22,11.03750000000003
05,2016-04-23,9.937500000000021
05,2016-04-24,7.075000000000024
05,2016-04-25,5.9875000000000185
05,2016-04-26,6.687500000000021
05,2016-04-27,8.08750000000002
05,2016-04-28,8.737500000000026
05,2016-04-29,9.287500000000016
05,2016-04-30,7.325000000000024
05,2016-05-01,5.9250000000000185
05,2016-05-02,8.550000000000018
05,2016-05-03,11.412500000000023
05,2016-05-04,11.575000000000024
05,2016-05-05,13.125000000000021
05,2016-05-06,14.90000000000002
05,2016-05-07,14.675000000000026
05,2016-05-08,14.487500000000018
05,2016-05-09,10.46250000000002
05,2016-05-10,14.300000000000011
05,2016-05-11,10.875000000000014
05,2016-05-12,10.512500000000024
05,2016-05-13,11.300000000000026
05,2016-05-14,12.037500000000037
05,2016-05-15,11.825000000000031
05,2016-05-16,10.562500000000021
05,2016-05-17,11.725000000000016
05,2016-05-18,13.962500000000027
05,2016-05-19,9.825000000000031
05,2016-05-20,12.637500000000017
05,2016-05-21,16.80000000000001
05,2016-05-22,15.77500000000002
05,2016-05-23,8.800000000000033
05,2016-05-24,11.475000000000016
05,2016-05-25,14.462500000000027
05,2016-05-26,17.362500000000026
05,2016-05-27,20.08750000000002
05,2016-05-28,20.01250000000004
05,2016-05-29,13.087500000000027
05,2016-05-30,13.087500000000013
05,2016-05-31,12.362500000000026
05,2016-06-01,12.675000000000018
05,2016-06-02,13.737500000000018
05,2016-06-03,13.937500000000014
05,2016-06-04,15.312500000000028
05,2016-06-05,14.575000000000024
05,2016-06-06,16.20000000000004
05,2016-06-07,16.512500000000024
05,2016-06-08,17.162500000000023
05,2016-06-09,17.08750000000002
